,,,,,,,
,angle_A,data_A,,angle_B,data_B,,
,5 ,16 ,,5 ,17.5 ,,
,10 ,16.7 ,,10 ,17 ,,
,15 ,15.1 ,,15 ,19 ,,
,20 ,14.3 ,,20 ,21 ,,
,25 ,12.9 ,,25 ,23 ,,
,30 ,9.6 ,,30 ,26.5 ,,
,35 ,8.5 ,,35 ,28.1 ,,
,40 ,5.7,,40 ,35.5 ,,
,42.5,4.4 ,,45 ,42 ,,
,45 ,3.1,,50 ,50.1 ,,
,47.5,2.1 ,,55 ,68 ,,
,50 ,1.1,,60 ,85 ,,
,52.5,0.4 ,,65 ,121.5 ,,
,55 ,0.1,,70 ,157.8 ,,
,57.5,0.5 ,,75 ,221 ,,
,60 ,2.2,,80 ,260 ,,
,62.5, 5.8 ,,85 ,423 ,,
,65 ,10.1,,90 ,550,,
,67.5,23 ,,,,,
,70 ,29.8,,,,,
,72.5,49.5 ,,,,,
,75 ,69.5,,,,,
,77.5,108 ,,,,,
,80 ,150.5,,,,,
,85 ,304 ,,,,,
,90 ,550,,,,,
,,,,,,,
,,,,,,,
